text,class
كيفاش واش كتطلع هاكدة,morocco
فنان يحب فنو ويدافع عليه,tunisia
يدافع على الثقافة وهو ماهو مثقف,tunisia
عطني ديك الصينية,morocco
إيه بالصح ماركة فرنساز,algeria
"جمهورية الطحين""",tunisia
و أخيرا اكتشف ابراهيم حسن البلطجي الحقيقة التي ما فتئ الجزائريون يرددونها وهي تناول المنتخب رالمصرائيلي للمنشطات و المخدرات و خاصة لاعبي الأهلي العجزة ياريت تفتح تحقيق يا حسن و احنا معاك,egypt
زعزعتني البرية ماتيقتش بديت غير كنبكي كيفاش سيدي ربي هدى رجل للسلام على يدي,morocco
اسمعي يا طفلة,algeria
راني نشوف سكات على واش راه يصرا راهم لاتيين بسوريا,algeria
استاذى دكتورى عزيزى رئيسى القادم ان شاء اللة اود ان الفت نظر حضرتك الى ان ما حدث اليوم من يوم دامى ملىء بالعتقالات والنتهاكات والبلطجة والترويع اراة من وجعة نظرى المتواضعة رسالة موجهة اليك قبل ان تكون موجهة الينا فهى بمثابة انبوبة اختبار لكى رد فعل حضرتك ..........لذلك اتمنى ان يكون الرد على قدر المصيبة وشكرا,egypt
يا عباد ربي افهمو راهم كلاب قرودة مسخين واله كي يغسلوهم بالجفال لاينظافو المسخين  الخماج إلى براء بوليس يبزق عليه ويتجنبو هوما كلاب متراهمش في الشارع في القهاوي اما الشرفاء الامنين ديما محبوبين علاش متراهمش في اشتباكات مع المواطن ومتراهش في الكياس يخدموهم كان في الإدارة والهمل العوق ولاد الحرام الكلاب تراهم ملين الشارع,tunisia
بيضا ايه,algeria
غدوة انشالله نكملو برك على الكتيبة إلا حبيتو,algeria
محلاها سامي. ام مش يغدر بيه,tunisia
نضن يوكل العسل بودنيه,algeria
مسرحي بارع،ومثقف،وواعي ويعرف اش يحكي و كل كلمة في بقعتها برافو بن يغلان ربي معاك,tunisia
ما شاء الله عليها ربي يفضلهالك,tunisia
اني نحبك بارشا يا وجيها انتي مومثلا شاطرا,tunisia
ايه أرواحي,algeria
كلش باين  القضية هي انقلاب  وكامل الناس راهم ضدو,algeria
"أقسم بالله أنني حدثت نفسي بمعظم المعاني التي وردت في مقالتك الرائعة بعد مشاهدة حلقة النيل للرياضة التي انفعل فيها المستشار السابق على الشيخ ، وفكرت في إرسال رسالة للإعلامي المحترم محمود سعد كي يعدل عن فكرته في تنظيم قعدة الصلح لأنها فاشلة من قبل أن تبدأ وأناشد الشيخ بألا يقحم نفسه في هذه الأمور أقل ما توصف به أنها صبيانية وغير أخلاقية ليس من منطلق حرصي على كرامة الشيخ ، فهو كفيل أن يدافع عن كرامته ، ولكن بسبب أنني تصورت أن إبني ذو الأعوام الإثنى عشر ستهتز في عينيه صورة الشيخ مستقبلا ، وكيف سيتقبل منه فتوى أو رأي ديني بعد ذلك وهو يحدث نفسه قائلا "" مش هو ده اللي شخط فيه مرتضى منصور؟""",egypt
قال ليه هدا هو القضاء و القدر,morocco
خطوة كمان يا مصر,egypt
قﺘﻠﮭﺎ وش مخمة افريال اديري,algeria
كريمة كيف العادة بقينا بوحدنا,morocco
مستوى منحط للرجل الي اسمه احمد الرحموني,tunisia
بصراحة وهرتو وحدها ديما  مشيخنا    لمعلم <3,tunisia
إنسان معقد وما عندوش اخلاق,tunisia
معلم وحدك وحدك.,tunisia
ربي يهلكهم و يطلع في صغارهم الكلاب وانت يا سند (الاب)ربي يعطيك الصبر و انشاءالله لاباس,tunisia
هاه بصح في الفصحى نكتبو نحاولو بلا واو يعني نحن نحاول,algeria
إما واحد التونسي فاش تزوج مرة تانيت حصلاتو مراتو و دعاتو,morocco
بس كفاية إن الأعمى يشوف إن الأهلي خد الدوري بالتحكيم والقرارات الظالمة والإعلام المجامل والرشاوى,egypt
