text,class
to9tel.,tunisia
sedd femmek,morocco
knt kanfakar fchi 7aja aktar itara,morocco
fnihaya dyal simana idan,morocco
L animateur rahou masset. Brabi bedlouh,tunisia
a7ssen 9aney fi touness,tunisia
lbeT 7tta 8owwa kaybeyyed b7al djaj,morocco
maset laset amin fi tounsia,tunisia
kanbghi khdemti,morocco
"o stakchfna lbarakin f ljazira, tkkina f ramla dyal lb7ar otmata3na blghorob .",morocco
anmchiw njibo had l3shoub o n7awlo nsaybo bihom dwa,morocco
"3ad zid, m3a lghoroub, w9t mitali bach ntsaT7o m3a chi dib ola dobb!",morocco
ma5yeb wejhek,tunisia
M3alem sami Wallah,tunisia
achno kat9tare7 idan?,morocco
kannakol kokiz,morocco
"o ila b9ina wa7lin 8na bzaf dyal lw9t, imkan lina njarbo tot lk7al",morocco
"wach bghiti tmchi llbit lmochtarak, bach tchrab kas dyal atay?",morocco
kthba,tunisia
chokran 3la l3rada,morocco
wla lkhiyar dyal Tbib dyalo,morocco
chrit Sak jdid,morocco
nty w hassen doss mn ahsn etwensa i ghnehom yaajbni 3 3 3 keep on chmeta f nabara 3 3 3 3 3 3,tunisia
dart khata2 matba3i,morocco
"wayeh, knt kandir bzzaf tl7wayj, walakin mora lksida lli yallah chft, mo7al ghan9der nrje3 dghya!",morocco
lach katlemme7?,morocco
la chokran,morocco
"wakha, ana ghadi lbar bach nakhad machrob",morocco
mala 5orda ourorou,tunisia
"walakin, kifach wSlti ldar?",morocco
"ghanbda bl bsbas, kayakhod lwe9t",morocco
Bravo walid tounsi sid rjal,tunisia
wach msali had llila?,morocco
b7al bzaf 9bel mnni,morocco
chrit nDaDer dchchems,morocco
kayn chwiya dyal lba7ara kayjiw,morocco
pfff miskina weld l7ram,tunisia
katdahar bli baghi t3raf kifach daz n8ari,morocco
3aadatan kankhdm nhar l3id 7it ana sakn f mrrakch 9rib l biro,morocco
kandirha!,morocco
wach tla9aw m3aha b3da?,morocco
kayban fih lmalal tahowa,morocco
7awel matfewwe8ch,morocco
o ghadi nhadro 3lih ghda?,morocco
kanfadal kas kbir dyal chrab chokran lik,morocco
Bismi allah!,morocco
"drari kaydiro sda3 bzaf, o kankhaf ykhal3o lfrakh dyal lbaT",morocco
ah darori!,morocco
kat3jebni 8ad l2oghniya,morocco
ah 3raft,morocco
fia jjou3,morocco
mamt2ekkedch annani baghi nrmi l7jer.,morocco
chwiya dyal chrab 7da lbar imkan,morocco
mshny lfirst,tunisia
"ah mamt2akad achnahoa bawlo, walakin 3lach la?",morocco
madertch ssekkar,morocco
kay3jbni l fermaj,morocco
3yyeT l lbolis,morocco
"khssna nbdaw njibo dwira mrra mrra, kat7ess brra7a",morocco
l2ikhtiyyar dyalk,morocco
ma3ndich m3a lmakla l7arra,morocco
"wakha, mnkhouD wla ma9lob?",morocco
tsellef ktab mn lmktaba,morocco
bravo karim,tunisia
ma9dertch nteyye9,morocco
chouf chouf,morocco
meziana b nisba l chi wa7d f3mro khmsa o tmanin 3am.,morocco
chno bghiti tgol?,morocco
mab9itch cheftek mazal,morocco
<3,tunisia
akhir mrra 7awlt b tilifoni walakin makanch ssinyal o dak l boton dyal lalarm makhdmch,morocco
ghadi nDDem blan kbir f London simana jaya,morocco
